trade_id,token_symbol,entry_time,exit_time,entry_price,exit_price,return_pct,exit_type,volume,confidence_score,momentum_5m,momentum_7m,trend_acceleration,price_change_15m,monitoring_duration
TRADE_20250109_221758_10,DM,2025-01-09T22:54:43.972299,2025-01-09T22:55:44.483506,6.503532593568275e-06,5.7860646427829556e-06,-11.031972861869955,stop_loss,728.2411429428472,0.9249999999999999,0.11476693888411371,0.11476693888411371,0.013877178441245613,0.11476693888411371,1.0134868
TRADE_20250109_221758_11,ai16G,2025-01-09T22:54:57.125046,2025-01-09T22:55:57.622485,1.0159344970952795e-05,8.185673385203208e-06,-19.427153929634557,stop_loss,4809.526451335633,1.0,0.39921237844195656,0.42593718424979077,0.03702624037752085,0.5225416033758166,1.01230735
TRADE_20250109_221758_12,FAI,2025-01-09T22:57:40.347493,2025-01-09T22:58:40.923528,7.53740932604282e-06,6.648805532268546e-06,-11.78924687961449,stop_loss,5389.704854816944,0.9249999999999999,0.1380448988032994,0.1380448988032994,0.013026555502368947,0.1371902757204806,1.0140614666666667
TRADE_20250109_221758_13,LLM,2025-01-09T22:57:48.071042,2025-01-09T22:58:48.573417,1.0745652681088088e-05,7.541389141642779e-06,-29.81916161393047,stop_loss,4259.0003373416985,0.85,0.46081874895396924,0.31352810250574303,0.0633148320281524,0.0,1.0129351833333333
TRADE_20250109_221758_14,Ballsack,2025-01-09T22:59:40.248676,,9.156263177676804e-06,,,,2139.4469920816505,1.0,0.11705557313970094,0.13236263470628784,0.010829546489472153,0.20847801155630163,
TRADE_20250109_221758_15,SAM,2025-01-09T22:59:43.768479,2025-01-09T23:00:44.324267,0.011345854470509956,0.009474996999579733,-16.48934838528856,stop_loss,766038.313194332,1.0,0.2232539912252045,0.2564521757231677,0.014779699593087628,0.511407098671659,1.01453425
TRADE_20250109_221758_16,SAM,2025-01-09T23:01:44.667323,2025-01-09T23:01:44.941521,0.010628423877613076,0.009500275873872295,-10.61444308894217,stop_loss,766038.313194332,0.875,0.11391549260018419,0.1459041681273301,0.008793767839867156,0.3504252622915309,0.008601616666666667
TRADE_20250109_221758_17,SAM,2025-01-09T23:02:45.484623,2025-01-09T23:03:46.019948,0.01153200559406663,0.010138613698667146,-12.082823616703786,stop_loss,766038.313194332,1.0,0.14386066763542193,0.2526290779171072,0.010276876850475986,0.38877096902227803,1.0128327833333333
TRADE_20250109_221758_18,NO DIDDY,2025-01-09T23:03:42.748202,2025-01-09T23:07:44.195499,1.1268118951221533e-05,9.050134938697663e-06,-19.683711381866686,stop_loss,11601.43353570353,0.875,0.16057009791041055,0.20413756652710746,0.0008647508768148543,0.27031859124331015,4.028612416666666
TRADE_20250109_221758_19,YOMAMAI,2025-01-09T23:03:54.075598,,9.581531594096218e-06,,,,9472.51190672179,0.85,0.19774857853980654,0.1668362723089276,0.028305094913130227,-0.06742657413739739,
TRADE_20250109_221758_1,NO DIDDY,2025-01-09T22:40:35.635217,2025-01-09T22:41:36.220248,1.1366802562871965e-05,9.173094923543349e-06,-19.299249962289732,stop_loss,3418.836628848727,0.85,0.11462313443236272,0.4369557901411092,0.01620986748075265,0.0,1.0142165
TRADE_20250109_221758_20,EP1LEPSY,2025-01-09T23:04:16.507131,2025-01-09T23:17:20.297387,1.2953133516835245e-05,6.227223804221546e-06,-51.924962433777154,stop_loss,6546.868624956535,0.85,0.2635033503920621,0.38538436482167504,0.026390627494253194,0.0,13.067266566666666
TRADE_20250109_221758_21,PULSE,2025-01-09T23:04:45.374130,2025-01-09T23:09:46.964156,9.110142681522405e-06,7.382525276868542e-06,-18.963670109776576,stop_loss,37900.32142921812,1.0,0.37587531092617477,0.37587531092617477,0.046984413865771846,0.37587531092617477,5.030902366666667
TRADE_20250109_221758_22,PULSE,2025-01-09T23:04:59.508622,2025-01-09T23:11:09.006925,7.641868892412483e-06,6.773310315875913e-06,-11.36578746331216,stop_loss,1764.3564638707396,1.0,0.20571835101910674,0.20571835101910674,0.025714793877388342,0.20571835101910674,6.163135783333333
TRADE_20250109_221758_23,PULSE,2025-01-09T23:05:19.598682,,9.307485942455347e-06,,,,50784.905254771205,1.0,0.340059484292373,0.340059484292373,0.0432816260881692,0.3840095725032129,
TRADE_20250109_221758_24,BR,2025-01-09T23:05:37.040215,,7.90194780655078e-06,,,,1550.9380786635318,1.0,0.20268529499507792,0.20268529499507792,0.016276272569205108,0.23039767466894023,
TRADE_20250109_221758_25,ai16G,2025-01-09T23:06:01.363543,,8.994399139531806e-06,,,,10151.568991495918,1.0,0.20804072173888666,0.20928538803392183,0.02603364824190632,0.23925972905039838,
TRADE_20250109_221758_26,DORITOS,2025-01-09T23:08:08.326302,2025-01-09T23:11:12.044544,6.864426593191695e-06,5.9902796317943775e-06,-12.73444984121933,stop_loss,913.1206070477824,0.9249999999999999,0.15813223461805914,0.15813223461805914,0.019766529327257393,0.15813223461805914,3.0886581833333335
TRADE_20250109_221758_27,UHB,2025-01-09T23:08:37.094105,2025-01-09T23:12:38.479255,7.801149095244408e-06,6.998896901522901e-06,-10.283769530960008,stop_loss,1550.5734007867127,1.0,0.15897060899143067,0.1841057145558216,0.019551657862475647,0.22317197066466088,4.0270741999999995
TRADE_20250109_221758_28,FLOW,2025-01-09T23:10:23.908774,,9.727901862070108e-06,,,,9344.369944287862,0.85,0.1254573707961788,0.2848656964603369,0.01393548219942338,-0.17791358894971976,
TRADE_20250109_221758_29,CRW,2025-01-09T23:10:37.948792,,7.5839422654808105e-06,,,,1322.468142145396,0.9249999999999999,0.14297281320722965,0.13856676429047066,0.017871601650903707,0.11990757583078637,
TRADE_20250109_221758_2,HIVcoin,2025-01-09T22:40:38.329366,2025-01-09T22:43:39.429541,8.644926894879535e-06,7.779193844102055e-06,-10.014347851689308,stop_loss,4973.235597518062,0.875,0.27733527859927354,0.27733527859927354,0.0026970634098452545,0.3591652882380185,3.02245095
TRADE_20250109_221758_30,FATASS,2025-01-09T23:10:39.439035,,1.1237110656278189e-05,,,,66567.62771535738,1.0,0.2362589362344505,0.26644871553629734,0.019415656203059406,0.21770178940379936,
TRADE_20250109_221758_31,cto,2025-01-09T23:10:45.252515,,8.257776855563284e-06,,,,2328.332296763822,1.0,0.4211285903737565,0.4211285903737565,0.050303283802813376,0.41182088508056536,
TRADE_20250109_221758_32,Kom,2025-01-09T23:12:44.344663,,7.82819118562867e-05,,,,32056.042905834685,0.85,0.19933727696600623,0.17401941160134982,0.01183568454470775,-0.059723834531455355,
TRADE_20250109_221758_33,WMD,2025-01-09T23:14:15.954372,,8.125051500991954e-06,,,,9754.01501818193,1.0,0.2287875818076539,0.2287875818076539,0.023873180489011103,0.2287875818076539,
TRADE_20250109_221758_34,CID,2025-01-09T23:14:19.152123,2025-01-09T23:15:19.661058,1.169805599193458e-05,8.740480718318379e-06,-25.282621964327667,stop_loss,170742.38810446867,0.85,0.24294229165360348,0.24774859931556592,0.0662353456025539,-0.755865979223452,1.0126534666666667
TRADE_20250109_221758_35,BTCLM,2025-01-09T23:18:50.794507,,6.94782999324797e-06,,,,6481.281675114482,0.85,0.10318226531020636,0.10318226531020636,0.011975819880357147,-0.02193456358222634,
TRADE_20250109_221758_3,SMOKEY,2025-01-09T22:43:11.403021,,8.687176463981402e-06,,,,6959.53081455501,1.0,0.16513978870539514,0.13940122170928104,0.014191953014217884,0.49398764720443555,
TRADE_20250109_221758_4,543,2025-01-09T22:46:25.601584,2025-01-09T23:04:31.213786,6.927767153625471e-06,5.641175337105565e-06,-18.571522223384783,stop_loss,1178.5063045633674,0.9249999999999999,0.1907956621325182,0.1907956621325182,0.023849457766564774,0.1907956621325182,18.097455433333334
TRADE_20250109_221758_5,$LGTB,2025-01-09T22:47:08.612117,2025-01-09T22:57:12.111437,5.182446184972666e-05,6.442419652548941e-06,-87.56876690542437,stop_loss,10671.544698457707,0.875,0.10228330904555949,0.14156216158892065,0.0010565591796843354,0.3337296415782971,10.062743466666666
TRADE_20250109_221758_6,HIVcoin,2025-01-09T22:47:40.765529,2025-01-09T22:59:45.075344,9.436795411369264e-06,8.490307975991757e-06,-10.029754743195962,stop_loss,4973.235597518062,0.875,0.1028012788151389,0.09159921490588419,0.013672931638858285,0.3643774596158422,12.07618345
TRADE_20250109_221758_7,FARTCАT,2025-01-09T22:51:31.197538,2025-01-09T22:52:31.848943,1.3054466932400657e-05,1.1257321198792956e-05,-13.766519482670391,stop_loss,4916.2202987893525,0.875,0.2074482666030526,0.13164538765668632,0.000900413975209402,0.4874856649227768,1.0150651166666667
TRADE_20250109_221758_8,FATASS,2025-01-09T22:51:33.894011,2025-01-09T22:52:34.414890,1.5015734336269477e-05,1.2015142380819045e-05,-19.982985102518146,stop_loss,62285.00630011446,1.0,0.12495380815862123,0.15082877313907095,0.014202090144377635,0.30083455966093386,1.0154294333333334
TRADE_20250109_221758_9,Magic,2025-01-09T22:53:23.905713,2025-01-09T23:18:31.605381,7.00301531035269e-06,6.289149685778735e-06,-10.193689331488876,stop_loss,18244.197163008095,0.85,0.11113619255376483,0.12258946495745393,0.01348186972544213,-0.15261976345876405,25.132677116666667
